	canvas	id	label	entityId	creator	title
0	https://github.com/n1kg0r/ds-project-dhdk/Canvas_314	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p43	BO0451_CAM6537_0043_p.XXXV.jpg	entity-44		
9	https://github.com/n1kg0r/ds-project-dhdk/Canvas_387	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p116	BO0451_CAM6537_0116_tavola recto.jpg	entity-117		
18	https://github.com/n1kg0r/ds-project-dhdk/Canvas_310	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p39	BO0451_CAM6537_0039_p.XXXI.jpg	entity-40		
27	https://github.com/n1kg0r/ds-project-dhdk/Canvas_316	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p45	BO0451_CAM6537_0045_p.XXXVII.jpg	entity-46		
36	https://github.com/n1kg0r/ds-project-dhdk/Canvas_294	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p23	BO0451_CAM6537_0023_p.XIX.jpg	entity-24		
45	https://github.com/n1kg0r/ds-project-dhdk/Canvas_294	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p23	c3r	entity-24		
54	https://github.com/n1kg0r/ds-project-dhdk/Canvas_294	https://dl.ficlit.unibo.it/iiif/2/19425/canvas/p7	BO0451_CAM6537_0023_p.XIX.jpg	entity-265		
63	https://github.com/n1kg0r/ds-project-dhdk/Canvas_294	https://dl.ficlit.unibo.it/iiif/2/19425/canvas/p7	c3r	entity-265		
72	https://github.com/n1kg0r/ds-project-dhdk/Canvas_338	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p67	BO0451_CAM6537_0067_tavola recto.jpg	entity-68		
81	https://github.com/n1kg0r/ds-project-dhdk/Canvas_313	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p42	BO0451_CAM6537_0042_p.XXXIV.jpg	entity-43		
90	https://github.com/n1kg0r/ds-project-dhdk/Canvas_448	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p177	BO0451_CAM6537_0177_p.89.jpg	entity-178		
99	https://github.com/n1kg0r/ds-project-dhdk/Canvas_375	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p104	BO0451_CAM6537_0104_p.42.jpg	entity-105		
108	https://github.com/n1kg0r/ds-project-dhdk/Canvas_385	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p114	BO0451_CAM6537_0114_p.48.jpg	entity-115		
117	https://github.com/n1kg0r/ds-project-dhdk/Canvas_405	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p134	BO0451_CAM6537_0134_p.58.jpg	entity-135		
126	https://github.com/n1kg0r/ds-project-dhdk/Canvas_312	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p41	BO0451_CAM6537_0041_p.XXXIII.jpg	entity-42		
135	https://github.com/n1kg0r/ds-project-dhdk/Canvas_414	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p143	BO0451_CAM6537_0143_p.67.jpg	entity-144		
144	https://github.com/n1kg0r/ds-project-dhdk/Canvas_340	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p69	BO0451_CAM6537_0069_p.11.jpg	entity-70		
153	https://github.com/n1kg0r/ds-project-dhdk/Canvas_368	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p97	BO0451_CAM6537_0097_p.35.jpg	entity-98		
162	https://github.com/n1kg0r/ds-project-dhdk/Canvas_291	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p20	BO0451_CAM6537_0020_p.XVI.jpg	entity-21		
171	https://github.com/n1kg0r/ds-project-dhdk/Canvas_291	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p20	c1v	entity-21		
180	https://github.com/n1kg0r/ds-project-dhdk/Canvas_291	https://dl.ficlit.unibo.it/iiif/2/19425/canvas/p4	BO0451_CAM6537_0020_p.XVI.jpg	entity-262		
189	https://github.com/n1kg0r/ds-project-dhdk/Canvas_291	https://dl.ficlit.unibo.it/iiif/2/19425/canvas/p4	c1v	entity-262		
198	https://github.com/n1kg0r/ds-project-dhdk/Canvas_304	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p33	BO0451_CAM6537_0033_p.XXIX.jpg	entity-34		
207	https://github.com/n1kg0r/ds-project-dhdk/Canvas_459	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p188	BO0451_CAM6537_0188_np.jpg	entity-189		
216	https://github.com/n1kg0r/ds-project-dhdk/Canvas_423	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p152	BO0451_CAM6537_0152_p.72.jpg	entity-153		
225	https://github.com/n1kg0r/ds-project-dhdk/Canvas_344	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p73	BO0451_CAM6537_0073_p.15.jpg	entity-74		
234	https://github.com/n1kg0r/ds-project-dhdk/Canvas_446	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p175	BO0451_CAM6537_0175_p.87.jpg	entity-176		
243	https://github.com/n1kg0r/ds-project-dhdk/Canvas_303	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p32	BO0451_CAM6537_0032_p.XXVIII.jpg	entity-33		
252	https://github.com/n1kg0r/ds-project-dhdk/Canvas_303	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p32	scala	entity-33		
261	https://github.com/n1kg0r/ds-project-dhdk/Canvas_303	https://dl.ficlit.unibo.it/iiif/2/19425/canvas/p16	BO0451_CAM6537_0032_p.XXVIII.jpg	entity-274		
270	https://github.com/n1kg0r/ds-project-dhdk/Canvas_303	https://dl.ficlit.unibo.it/iiif/2/19425/canvas/p16	scala	entity-274		
279	https://github.com/n1kg0r/ds-project-dhdk/Canvas_403	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p132	BO0451_CAM6537_0132_tavola verso.jpg	entity-133		
288	https://github.com/n1kg0r/ds-project-dhdk/Canvas_452	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p181	BO0451_CAM6537_0181_p.93.jpg	entity-182		
297	https://github.com/n1kg0r/ds-project-dhdk/Canvas_287	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p16	BO0451_CAM6537_0016_p.XII.jpg	entity-17		
306	https://github.com/n1kg0r/ds-project-dhdk/Canvas_287	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p16	scala	entity-17		
315	https://github.com/n1kg0r/ds-project-dhdk/Canvas_287	https://dl.ficlit.unibo.it/iiif/2/19428/canvas/p16	BO0451_CAM6537_0016_p.XII.jpg	entity-257		
324	https://github.com/n1kg0r/ds-project-dhdk/Canvas_287	https://dl.ficlit.unibo.it/iiif/2/19428/canvas/p16	scala	entity-257		
333	https://github.com/n1kg0r/ds-project-dhdk/Canvas_356	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p85	BO0451_CAM6537_0085_p.23.jpg	entity-86		
342	https://github.com/n1kg0r/ds-project-dhdk/Canvas_336	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p65	BO0451_CAM6537_0065_np.jpg	entity-66		
351	https://github.com/n1kg0r/ds-project-dhdk/Canvas_315	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p44	BO0451_CAM6537_0044_p.XXXVI.jpg	entity-45		
360	https://github.com/n1kg0r/ds-project-dhdk/Canvas_460	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p189	BO0451_CAM6537_0189_tavola recto.jpg	entity-190		
369	https://github.com/n1kg0r/ds-project-dhdk/Canvas_381	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p110	BO0451_CAM6537_0110_tavola verso.jpg	entity-111		
378	https://github.com/n1kg0r/ds-project-dhdk/Canvas_391	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p120	BO0451_CAM6537_0120_tavola verso.jpg	entity-121		
387	https://github.com/n1kg0r/ds-project-dhdk/Canvas_475	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p204	BO0451_CAM6537_0204_p.112.jpg	entity-205		
396	https://github.com/n1kg0r/ds-project-dhdk/Canvas_360	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p89	BO0451_CAM6537_0089_p.27.jpg	entity-90		
405	https://github.com/n1kg0r/ds-project-dhdk/Canvas_438	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p167	BO0451_CAM6537_0167_np.jpg	entity-168		
414	https://github.com/n1kg0r/ds-project-dhdk/Canvas_478	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p207	BO0451_CAM6537_0207_np.jpg	entity-208		
423	https://github.com/n1kg0r/ds-project-dhdk/Canvas_337	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p66	BO0451_CAM6537_0066_np.jpg	entity-67		
432	https://github.com/n1kg0r/ds-project-dhdk/Canvas_351	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p80	BO0451_CAM6537_0080_p.22.jpg	entity-81		
441	https://github.com/n1kg0r/ds-project-dhdk/Canvas_383	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p112	BO0451_CAM6537_0112_p.46.jpg	entity-113		
